SCN,Address,Type of installation,Latitude,Longitude,Operating Mode before Covid 19,Operating Mode for recovery phase,MIN Vehicle Green (seconds),MAX Vehicle Green (seconds)
PEL003,[PEL003] Farnborough: B3014 Victoria Road / near Westmead,Pelican Crossing,51.29365977,-0.75661774,VA,Pre-time max,7,25
PEL012,[PEL012] Aldershot: A323 High Street / near Church Hill,Pelican Crossing,51.24365909,-0.75270237,VA,Pre-time max,7,20
PEL031,[PEL031] Alton: Orchard Lane / near Russett Road,Pelican Crossing,51.15048076,-0.97111594,VA,Pre-time max,7,30
PEL043,[PEL043] Hook: A30 London Road / near Station Road,Pelican Crossing,51.28459777,-0.95355379,VA,Pre-time max,7,40
PEL048,[PEL048] Winchester: B3331 St George's Street / B3040 Jewry Street,Pelican Crossing,51.06323514,-1.31620699,SCOOT,VA,10,20
PEL058,[PEL058] Gosport: A32 Mumby Road / near High Street,Pelican Crossing,50.79468761,-1.11827215,VA,Pre-time max and green time extended to be done ,7,25
PEL062,[PEL062] Gosport: B3334 Rowner Road / near Rowner Lane,Pelican Crossing,50.81193669,-1.16919768,VA,Pre-time max,10,20
PEL106,[PEL106] Locks Heath: Warsash Road / near Locks Road,Pelican Crossing,50.85516164,-1.27326043,VA,Pre-time max,7,20
PEL111,[PEL111] Lyndhurst: A35 High Street / near Church Lane,Pelican Crossing,50.87249181,-1.57505563,VA,Pre-time max,7,25
PEL151,[PEL151] New Milton: Old Milton Road / near Hobart Road,Pelican Crossing,50.7487515,-1.66142007,VA,Pre-time max,7,30
PEL152,[PEL152] Horndean: Catherington Lane / near Merchistoun Road,Pelican Crossing,50.91239614,-1.01128302,VA,Pre-time max,7,20
PEL153,[PEL153] Chandler's Ford: B3043 Hursley Road / near Sutherlands Way,Pelican Crossing,50.98507845,-1.38485355,VA,Pre-time max,7,40
PEL157,[PEL157] New Milton: Ashley Road / near Litchford Road,Pelican Crossing,50.7567904,-1.64219919,VA,Pre-time max,7,40
PUF001,[PUF001] Aldershot: A323 High Street / near B3008 Victoria Road,Puffin Crossing,51.24780113,-0.75593142,VA,Pre-time max,7,20
PUF002,[PUF002] Farnborough: A325 Farnborough Road / near Clockhouse Roundabout ,Puffin Crossing,51.29253298,-0.75348441,VA,Pre-time max,7,25
PUF004,[PUF004] Liphook: B2070 Portsmouth Road / near B2131 Haslemere Road ,Puffin Crossing,51.07658967,-0.80292388,VA,Pre-time max,7,25
PUF005,[PUF005] Petersfield: B2070 Dragon Street / near High Street,Puffin Crossing,51.0035328,-0.93460758,VA,Pre-time max,7,20
PUF011,[PUF011] Aldershot: B3208 Lower Farnham Road / near Herrett Street,Puffin Crossing,51.23941984,-0.74536078,VA,Pre-time max,7,24
PUF013,[PUF013] Liphook: B2131 London Road / near Childerstone Close ,Puffin Crossing,51.07773962,-0.80264011,VA,Pre-time max,7,25
PUF014,[PUF014] Farnborough: Kingsmead / near A325 Farnborough Road,Puffin Crossing,51.29228615,-0.75403463,VA,Pre-time max,7,25
